,word,frequency
0,yesterday,1
1,we,3
2,celebrate,1
3,pavit's,1
4,first,5
5,birthday,2
6,at,12
7,my,2
8,favourite,1
9,place,7
10,@dhaba1986,1
11,",",2
12,nehru,1
13,#dilsefoodie,10
14,#food,19
15,#baltimeat,1
16,#dhaba1986,1
17,#nehruplace,1
18,happy,3
19,meri,1
20,jaan,1
21,@pavitdua,1
22,#pavitdua,1
23,#birthday,1
24,bhai,1
25,match,2
26,kon,1
27,jeetega,1
28,????,1
29,india,1
30,or,7
31,newzealand???,1
32,kya,1
33,lag,1
34,raha,1
35,hai,4
36,???,2
37,#momos,1
38,#streetfood,6
39,#icc,1
40,#worldcup,1
41,best,2
42,malabar,1
43,parotta,1
44,mathews,1
45,"cafe,",1
46,rk,1
47,puram,1
48,#southindian,2
49,#parotta,1
50,can,1
51,you,9
52,guess,1
53,the,59
54,#breakfast,3
55,murari,1
56,chaat,1
57,muradabad,1
58,#chaat,1
59,#muradabad,1
60,diwali,4
61,to,32
62,all,6
63,from,4
64,dua,1
65,family,1
66,and,54
67,dilsefoodie,1
68,team,2
69,🙏🏻,1
70,hum,3
71,hamesha,1
72,har,1
73,tyohar,1
74,pe,2
75,aise,1
76,kuch,1
77,logo,1
78,ko,4
79,bhul,1
80,jaate,1
81,jo,1
82,actually,1
83,humare,1
84,parivaar,1
85,ka,1
86,hissa,1
87,lekin,1
88,shayad,1
89,unhe,2
90,apni,2
91,khushiyo,1
92,mai,2
93,shamil,1
94,nahi,1
95,karte.,1
96,jab,1
97,baat,1
98,kar,1
99,rahe,1
100,ek,1
101,healthy,1
102,ki,1
103,kyu,1
104,na,1
105,bhi,1
106,shaamil,1
107,kare,1
108,iss,1
109,😊.,1
110,wishing,1
111,a,63
112,very,1
113,#pistachio,1
114,#happydiwali2023,1
115,#chandnichowk,1
116,#californiapistachios,1
117,#pistachios,1
118,#americanpistachiosindia,1
119,#americanpistachios,1
120,#ad,1
121,home,3
122,cooked,2
123,palak,1
124,wala,1
125,meat,2
126,with,19
127,roomali,1
128,roti,1
129,#meat,1
130,#nonveg,1
131,bangalore's,1
132,have,2
133,north,1
134,indian,2
135,food,4
136,@rajwadi_bangalore,1
137,#bangalorefood,1
138,#northindianfood,3
139,beef,10
140,barbacoa,1
141,quesadillas,1
142,🤤,3
143,ingredients,5
144,for,32
145,barbacoa:,1
146,1kg,2
147,chuck,1
148,cheek,1
149,1,20
150,cup,7
151,stock,1
152,1/2,5
153,apple,1
154,cider,1
155,vinegar,2
156,4,7
157,tspns,2
158,cumin,1
159,chipotle,1
160,peppers,2
161,in,39
162,adobo,1
163,sauce,7
164,juice,1
165,lime,1
166,cinnamon,1
167,stick,1
168,bay,1
169,leaves,1
170,3,4
171,cloves,2
172,of,43
173,garlic,16
